table,field,check,rule,n,pct_of_table,metric,direction,examples,treatment,note
Applications,createdTime,provenance,every record in every table shares one createdTime date (2026-08-27),350,100.0,both,none,rec03mm1CQItRpbin rec0BoZNmntCLQMr2 rec0Niixi0wuN3K1M rec0PaJV3hGNinKGA rec0W4wqiME84NbOB,flag only,"the whole base is one bulk import, so createdTime cannot separate bulk from organic records and issue rates cannot be compared across them"
Applications,Applied On,cross-table,application submitted after the opening's target close date,251,71.7,C1,unknown,rec03mm1CQItRpbin rec0BoZNmntCLQMr2 rec0W4wqiME84NbOB rec0jKr0UStsg9iLQ rec0yM3MdyWBDkjXA,flag only,"Target Close is a target, not a hard close - weak signal"
Candidates,Notice Period Days,validity,value <= 0,33,11.0,none,none,rec0hawReCGXfRRK8 rec3UGGnvgS4eHy1V rec67yPYHVjNNI6i5 rec6LXtDS09NTKZZr rec8KIOBM1v1qhXWi,flag only,zero bonus/experience is plausible business data
Candidates,Source,taxonomy,"source label names a specific product, not a channel class",31,10.3,C1,moves share between 'Job Board' and other,rec0fsVrfn2FFP0cX rec0rfFyI6FUhGlWs rec21D0wtMApDTES6 rec2bPXUI1noehNfU rec7X8gIFvgYkg8Yk,flag only,LinkedIn is arguably a job board; grouping choice moves C1 by ~11 pts
Candidates,Years Experience,validity,value <= 0,25,8.3,none,none,rec6wroezIrPNFObb recDMsloHhdiI7n5E recDsMtXByPsQQY2P recF8kNQraCKnPcn2 recFxocXQU3L60bwN,flag only,zero bonus/experience is plausible business data
Applications,Referred By vs Candidates.Source,anomaly,application has a referrer link but the candidate's Source says another channel,24,6.9,C1,misattributes referral hires to job boards,rec42NcT9OGY8NOQC rec4iYmQoziFjJ9fL rec5EHcqYRoWmEZKL rec6W1jdOjlvcdpG5 recCg355T7dWJq5wC,fix,two channel signals disagree on 24 of 27 referred applications; 17 of those are labelled 'Job Board'. C1 is 26.9% by Source but 11.5% by Referred By.
Offers,Joining Bonus,validity,value <= 0,23,63.9,none,none,rec2ZqFzKtzyRhiRw rec4IxCFtlh2fUaYZ rec5A8pPd3Az1BUkn rec5GeU3frNNkZrws recC08X4FeIURnTSC,flag only,zero bonus/experience is plausible business data
Job Openings,Hiring Manager,ownership,hiring manager sits outside the opening's department,21,87.5,none,none,rec1hXVrOPLSyiC6Y rec38ScPLVzASwBYL rec5ZjMzbr1BDZscz rec810iCfuNrOnIYU recDWPyPdsjzjzYEx,flag only,a shared/matrixed HM is normal in a small org
Candidates,Full Name + Phone,uniqueness,duplicate normalised name + phone,12,4.0,C1,inflates candidate counts,rec40qlITVvfTqKUW rec7Iz8z4Yub5PTlV rec8v1V35Qxg2qsjL recCHwuvmFEnREk0M recJYEsd93C0FgfMW,exclude,
Job Openings,Status,cross-table,job not marked Filled but has hired applications,10,41.7,C1,unknown,rec38ScPLVzASwBYL rec5ZjMzbr1BDZscz rec810iCfuNrOnIYU recM0u1crri2cum3o recMQPbjDBoBakTk9,flag only,a multi-headcount req stays Open after one hire - normal
Applications,Stage vs Interviews.Recommendation,anomaly,hired although every interview recommendation was negative,8,2.3,C1,none directly; signals a broken decision trail,rec0yM3MdyWBDkjXA recOQKvwlqxac6vRX recUTm4vFe46Ns02w recaFt6waPJsgv4Ct reciNqlMlx5mYgt5N,flag only,no check family compares the hire decision to the interview verdicts
Offers,Base CTC,anomaly,offer outside the requisition's salary band,7,19.4,C2,none directly; signals comp-process breakdown,rec9zR8IYJSOcp70l recSz6g6gyqkXsMhe recUzh2Vj5NyAPwRO recXLjOhQeRS6ds3g recYKkt6k6hHTt6Qt,flag only,no check family compares an offer to its own req's band
Applications,Candidate + Opening,uniqueness,same candidate applied to the same opening more than once,6,1.7,C1,inflates application denominator,rec2boXJI2mO6NvdL receoLsZYU1qm4tPS recF6Nq4dyCozd9Cs recrCOYOF6KWpUmqW recjqevDefQTd1YgU,flag only,could be a genuine re-application in a later season
Offers,Status,cross-table,candidate with more than one accepted offer,4,11.1,C2,inflates numerator and denominator,recJ0AWDZSiO7mxXQ recSCvGZZ0IpBjqt5 recbd2PLIv6QZxIx2 recrbx0808vIR0axx,fix,a revised offer to the same person for the same req is normal business behaviour; two different reqs would be a real conflict
Job Openings,Status / Headcount,cross-table,job marked Filled but hire count != headcount,4,16.7,C1,unknown,recDWPyPdsjzjzYEx recN2CRitgJbTxrMs recRf0sg8Gga7o7w9 recfHWdP7FhYmzOhw,flag only,
Applications,Proposed Start Date,temporal order,out of order: Proposed Start Date before Decision On,4,1.1,both,unknown,rec0yM3MdyWBDkjXA rec3do5Lr0vNEt35R reciNqlMlx5mYgt5N recsf6EmTqvMtB5m9,flag only,
Applications,Applied On,temporal order,out of order: Applied On before Opened On,3,0.9,both,unknown,recjFFqK9KHos3R03 recspd5m3Ua7jScMR recwwFHgFJVvqXjbl,flag only,
Offers,Proposed Start Date,validity,date in the future,2,5.6,none,none,rec5GeU3frNNkZrws recg8Zm1zfplQE1Hd,flag only,EXPECTED: a future start/close date is normal business data
Offers,Decision On,completeness,field absent or empty,1,2.8,C2,shrinks denominator if excluded,rec0bHaqPWKwbh666,flag only,Decision On absent = genuinely undecided offer
